Protein_Pair,AF3 rank,AF3 pTM,AF3 ipTM,AF3 LIS
fold_at1g01550_vs_at2g30680,0,0.54,0.17,0
fold_at1g01550_vs_at2g30680,1,0.54,0.17,0
fold_at1g01550_vs_at2g30680,2,0.53,0.15,0
fold_at1g01550_vs_at2g30680,3,0.53,0.15,0
fold_at1g01550_vs_at2g30680,4,0.52,0.14,0
